Nume,Link
"Laptop Gaming Lenovo Legion 5 15IAH7H cu procesor Intel® Core™ i7-12700H pana la 4.70 GHz, 15.6"", Full HD, IPS, 16GB, 512GB SSD, NVIDIA GeForce RTX 3070 8GB, No OS, Cloud Grey, 3y on-site, Premium Care",https://www.emag.ro/laptop-gaming-lenovo-legion-5-15iah7h-cu-procesor-intelr-coretm-i7-12700h-pana-la-4-70-ghz-15-6-full-hd-ips-16gb-512gb-ssd-nvidia-geforce-rtx-3070-8gb-no-os-cloud-grey-3y-on-site-premium-care-82rb00lj/pd/D09PJLMBM/
"Laptop Lenovo IdeaPad 5 14ALC05 cu procesor AMD Ryzen 7 5700U pana la 4.30 GHz, 14"" Full HD, 16GB, 512GB SSD, AMD Radeon Graphics, No OS, Graphite Grey",https://www.emag.ro/laptop-lenovo-ideapad-5-14alc05-cu-procesor-amd-ryzen-7-5700u-pana-la-4-30-ghz-14-full-hd-16gb-512gb-ssd-amd-radeon-graphics-no-os-graphite-grey-82lm00v8rm/pd/D0HFSZMBM/
"Laptop Lenovo IdeaPad 5 15ABA7 cu procesor AMD Ryzen 7 5825U pana la 4.5 GHz, 15.6"" Full HD, 16GB, 512GB SSD, AMD Radeon Graphics, No OS, Cloud Grey",https://www.emag.ro/laptop-lenovo-ideapad-5-15aba7-cu-procesor-amd-ryzen-7-5825u-pana-la-4-5-ghz-15-6-full-hd-16gb-512gb-ssd-amd-radeon-graphics-no-os-cloud-grey-82sg004vrm/pd/DLHFSZMBM/
"Laptop Lenovo ThinkPad L15 Gen 2 cu procesor AMD Ryzen 7 PRO 5850U, 15.6"", Full HD, 16GB, 512GB SSD, AMD Radeon Graphics, Free DOS, Black",https://www.emag.ro/laptop-lenovo-thinkpad-l15-gen-2-cu-procesor-amd-ryzen-7-pro-5850u-15-6-full-hd-16gb-512gb-ssd-amd-radeon-graphics-free-dos-black-20x7004lri/pd/DRJJ1XMBM/
"Laptop ultraportabil Acer Aspire 5 A515-45 cu procesor AMD Ryzen™ 5 5500U pana la 4.00 GHz, 15.6"", Full HD, IPS, 8GB, 512GB SSD, AMD Radeon™ Graphics, No OS, Silver",https://www.emag.ro/laptop-ultraportabil-acer-aspire-5-a515-45-cu-procesor-amd-ryzentm-5-5500u-pana-la-4-00-ghz-15-6-full-hd-ips-8gb-512gb-ssd-amd-radeontm-graphics-no-os-silver-nx-a82ex-005/pd/D3PMG4MBM/
"Laptop ASUS VivoBook 15 X1500EA cu procesor Intel® Core™ i7-1165G7 pana la 4.70 GHz, 15.6"" Full HD, IPS, 16GB, 512GB SSD cu 32GB Intel Optane Memory, Intel® Iris Xe Graphics, No OS, Indie Black",https://www.emag.ro/laptop-asus-vivobook-15-x1500ea-cu-procesor-intelr-coretm-i7-1165g7-pana-la-4-70-ghz-15-6-full-hd-ips-16gb-512gb-ssd-cu-32gb-intel-optane-memory-intelr-iris-xe-graphics-no-os-indie-black-x1500ea-bq234/pd/D3PFSZMBM/
"Laptop ultraportabil Microsoft Surface Go cu procesor Intel Core i5-1035G1, 12.4"", Touch, 4GB, 64GB eMMC, Windows 10 Home S, Platinum",https://www.emag.ro/laptop-ultraportabil-microsoft-surface-go-cu-procesor-intel-core-i5-1035g1-12-4-touch-4gb-64gb-emmc-windows-10-home-s-platinum-1zo-00009/pd/DR8S09MBM/
"Laptop Lenovo IdeaPad 3 15ITL6 cu procesor Intel® Core™ i5-1135G7 pana la 4.20 GHz, 15.6"", Full HD, 8GB, 256GB SSD,Intel Iris Xe Graphics, No OS, Sand",https://www.emag.ro/laptop-lenovo-ideapad-3-15itl6-cu-procesor-intelr-coretm-i5-1135g7-pana-la-4-20-ghz-15-6-full-hd-8gb-256gb-ssd-intel-iris-xe-graphics-no-os-sand-82h801f7rm/pd/DM788FMBM/
"Laptop Intel® NUC X15 King County, GeForce RTX 3060, 32GB, SSD 1TB, CPU i7-11800H, 4.6GHz, 24Mb",https://www.emag.ro/laptop-intelr-nuc-x15-king-county-geforce-rtx-3060-32gb-ssd-1tb-cpu-i7-11800h-4-6ghz-24mb-99ajgn-321000-uk/pd/DVWY84MBM/
"Laptop ASUS X515FA cu procesor Intel® Core™ i3-10110U pana la 4.10 GHz, 15.6"", Full HD, IPS, 8GB, 256GB SSD, Intel® UHD Graphics, No OS",https://www.emag.ro/laptop-asus-x515fa-cu-procesor-intelr-coretm-i3-10110u-pana-la-4-10-ghz-15-6-full-hd-ips-8gb-256gb-ssd-intelr-uhd-graphics-no-os-x515fa-bq019/pd/DK1014MBM/
