Nume,Link
"Laptop Apple 13.6'' MacBook Air 13 with Liquid Retina, Apple M2 chip (8-core CPU), 8GB, 512GB SSD, Apple M2 10-core GPU, macOS Monterey, Space Grey, INT keyboard, 2022",https://www.pcgarage.ro/notebook-laptop/apple/136-macbook-air-13-with-liquid-retina-apple-m2-chip-8-core-cpu-8gb-512gb-ssd-apple-m2-10-core-gpu-macos-monterey-space-grey-int-keyboard-2022/
"Laptop Lenovo Gaming 15.6'' Legion 5 15ARH7H, FHD IPS 165Hz, Procesor AMD Ryzen™ 7 6800H (16M Cache, up to 4.7 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 3070 8GB, No OS, Cloud Grey, 3Yr Onsite Premium Care",https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-156-legion-5-15arh7h-fhd-ips-165hz-procesor-amd-ryzen-7-6800h-16m-cache-up-to-47-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-3070-8gb-no-os-cloud-grey/
"Laptop DELL 15.6'' Latitude 5531 (seria 5000), FHD, Procesor Intel® Core™ i7-12800H (24M Cache, up to 4.80 GHz), 16GB DDR5, 512GB SSD, GeForce MX550 2GB, Win 11 Pro, 3Yr ProSupport",https://www.pcgarage.ro/notebook-laptop/dell/156-latitude-5531-seria-5000-fhd-procesor-intel-core-i7-12800h-24m-cache-up-to-480-ghz-16gb-ddr5-512gb-ssd-geforce-mx550-2gb-win-11-pro-3yr-bos/
"Laptop ASUS Gaming 14'' ROG Zephyrus G14 GA402RJ, QHD+ 120Hz, Procesor AMD Ryzen™ 9 6900HS (16M Cache, up to 4.9 GHz), 16GB DDR5, 1TB SSD, Radeon RX 6700S 8GB, Win 11 Home, Eclipse Gray AniMe Matrix",https://www.pcgarage.ro/notebook-laptop/asus/gaming-14-rog-zephyrus-g14-ga402rj-qhd-plus-120hz-procesor-amd-ryzen-9-6900hs-16m-cache-up-to-49-ghz-16gb-ddr5-1tb-ssd-radeon-rx-6700s-8gb-win-11-home-eclipse-gray-anime-matrix/
"Laptop Lenovo Gaming 15.6'' Legion S7 15ACH6, UHD IPS, Procesor AMD Ryzen™ 9 5900HX, 32GB DDR4, 1TB SSD, GeForce RTX 3060 6GB, No OS, Shadow Black, 3Yr Onsite Premium Care",https://www.pcgarage.ro/notebook-laptop/lenovo/156-legion-s7-15ach6-uhd-ips-procesor-amd-ryzen-9-5900hx-16m-cache-up-to-46-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-3060-6gb-no-os-shadow-black/
"Laptop ASUS Gaming 15.6'' TUF F15 FX507ZR, QHD 165Hz, Procesor Intel® Core™ i7-12700H (24M Cache, up to 4.70 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 3070 8GB, No OS, Mecha Gray",https://www.pcgarage.ro/notebook-laptop/asus/gaming-156-tuf-f15-fx507zr-qhd-165hz-procesor-intel-core-i7-12700h-24m-cache-up-to-470-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-3070-8gb-no-os-mecha-gray-1/
"Laptop Apple 13.6'' MacBook Air 13 with Liquid Retina, Apple M2 chip (8-core CPU), 16GB, 512GB SSD, Apple M2 10-core GPU, macOS Monterey, Starlight, INT keyboard, 2022",https://www.pcgarage.ro/notebook-laptop/apple/136-macbook-air-13-with-liquid-retina-apple-m2-chip-8-core-cpu-16gb-512gb-ssd-apple-m2-10-core-gpu-macos-monterey-starlight-int-keyboard-2022/
"Laptop ASUS Gaming 15.6'' ROG Strix SCAR 15 G533ZW, QHD 240Hz, Procesor Intel® Core™ i9-12900H (24M Cache, up to 5.00 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 3070 Ti 8GB, No OS, Off Black",https://www.pcgarage.ro/notebook-laptop/asus/gaming-156-rog-strix-scar-15-g533zw-qhd-240hz-procesor-intel-core-i9-12900h-24m-cache-up-to-500-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-3070-ti-8gb-no-os-off-black/
"Laptop Acer Gaming 17.3'' Nitro 5 AN517-55, QHD IPS 165Hz, Procesor Intel® Core™ i7-12700H (24M Cache, up to 4.70 GHz), 32GB DDR4, 1TB SSD, GeForce RTX 3070 Ti 8GB, No OS, Obsidian Black",https://www.pcgarage.ro/notebook-laptop/acer/gaming-173-nitro-5-an517-55-qhd-ips-165hz-procesor-intel-core-i7-12700h-24m-cache-up-to-470-ghz-32gb-ddr4-1tb-ssd-geforce-rtx-3070-ti-8gb-no-os-obsidian-black/
"Laptop Lenovo Gaming 16'' Legion 7 16ARHA7, WQXGA IPS 165Hz, Procesor AMD Ryzen™ 7 6800H (16M Cache, up to 4.7 GHz), 32GB DDR5, 1TB SSD, Radeon RX 6850M XT 12GB, No OS, Storm Grey, 3Yr Onsite Premium Care",https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-16-legion-7-16arha7-wqxga-ips-165hz-procesor-amd-ryzen-7-6800h-16m-cache-up-to-47-ghz-32gb-ddr5-1tb-ssd-radeon-rx-6850m-xt-12gb-no-os-storm-grey/
"Laptop Lenovo Gaming 16'' Legion 7 16ACHg6, WQXGA IPS 165Hz G-Sync, Procesor AMD Ryzen™ 9 5900HX, 32GB DDR4, 2x 1TB SSD, GeForce RTX 3080 16GB, No OS, Storm Grey, 3Yr Onsite Premium Care",https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-16-legion-7-16achg6-wqxga-ips-165hz-g-sync-procesor-amd-ryzen-9-5900hx-16m-cache-up-to-46-ghz-32gb-ddr4-2x-1tb-ssd-geforce-rtx-3080-16gb-no-os-storm-grey/
"Laptop HP Gaming 17.3'' OMEN 17-ck1008nq, QHD IPS 165Hz, Procesor Intel® Core™ i7-12800HX (25M Cache, up to 4.80 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 3080 Ti 16GB, Free DOS, Shadow Black",https://www.pcgarage.ro/notebook-laptop/hp/gaming-173-omen-17-ck1008nq-qhd-ips-165hz-procesor-intel-core-i7-12800hx-25m-cache-up-to-480-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-3080-ti-16gb-free-dos-shadow-black/
"Laptop Apple 16.2'' MacBook Pro 16 Liquid Retina XDR, Apple M1 Pro chip (10-core CPU), 32GB, 1TB SSD, Apple M1 Pro 16-core GPU, macOS Monterey, Space Grey, RO keyboard, Late 2021",https://www.pcgarage.ro/notebook-laptop/apple/162-macbook-pro-16-liquid-retina-xdr-apple-m1-pro-chip-10-core-cpu-32gb-1tb-ssd-apple-m1-pro-16-core-gpu-macos-monterey-space-grey-ro-keyboard-late-2021/
"Laptop Apple 16.2'' MacBook Pro 16 Liquid Retina XDR, Apple M1 Pro chip (10-core CPU), 32GB, 512GB SSD, Apple M1 Pro 16-core GPU, macOS Monterey, Silver, INT keyboard, Late 2021",https://www.pcgarage.ro/notebook-laptop/apple/162-macbook-pro-16-liquid-retina-xdr-apple-m1-pro-chip-10-core-cpu-32gb-512gb-ssd-apple-m1-pro-16-core-gpu-macos-monterey-silver-int-keyboard-late-2021-1/
"Laptop HP Gaming 17.3'' OMEN 17-ck1007nq, QHD IPS 165Hz, Procesor Intel® Core™ i7-12800HX (25M Cache, up to 4.80 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 3080 Ti 16GB, Free DOS, Shadow Black",https://www.pcgarage.ro/notebook-laptop/hp/gaming-173-omen-17-ck1007nq-qhd-ips-165hz-procesor-intel-core-i7-12800hx-25m-cache-up-to-480-ghz-32gb-ddr5-1tb-ssd-geforce-rtx-3080-ti-16gb-free-dos-shadow-black/
"Laptop Apple 16.2'' MacBook Pro 16 Liquid Retina XDR, Apple M1 Max chip (10-core CPU), 32GB, 1TB SSD, Apple M1 Max 32-core GPU, macOS Monterey, Silver, RO keyboard, Late 2021",https://www.pcgarage.ro/notebook-laptop/apple/162-macbook-pro-16-liquid-retina-xdr-apple-m1-max-chip-10-core-cpu-32gb-1tb-ssd-apple-m1-max-32-core-gpu-macos-monterey-silver-ro-keyboard-late-2021/
