Nume,Link
"Laptop Gaming ASUS TUF F15 FX506LH-HN042, Intel Core i5-10300H pana la 4.5GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, negru",https://altex.ro/laptop-gaming-asus-tuf-f15-fx506lh-hn042-intel-core-i5-10300h-pana-la-4-5ghz-15-6-full-hd-16gb-ssd-512gb-nvidia-geforce-gtx-1650-4gb-free-dos-negru/cpd/LAPFX506LHHN042/
"Laptop HUAWEI MateBook D16, Intel Core i5-12450H pana la 4.4GHz, 16"" Full HD, 8GB, SSD 512GB, Intel UHD Graphics, Windows 11 Home, Space Gray",https://altex.ro/laptop-huawei-matebook-d16-intel-core-i5-12450h-pana-la-4-4ghz-16-full-hd-8gb-ssd-512gb-intel-uhd-graphics-windows-11-home-space-gray/cpd/LAP53013DLC/
"Laptop Gaming ACER Nitro 5 AN515-57-52F5, Intel Core i5-11400H pana la 4.5GHz, 15.6"" Full HD, 8GB, SSD 512 GB, NVIDIA GeForce GTX 1650 4GB, Free DOS, negru",https://altex.ro/laptop-gaming-acer-nitro-5-an515-57-52f5-intel-core-i5-11400h-pana-la-4-5ghz-15-6-full-hd-8gb-ssd-512-gb-nvidia-geforce-gtx-1650-4gb-free-dos-negru/cpd/LAPNHQEKEX008/
"Laptop ASUS Vivobook 15X OLED X1503ZA-L1156W, Intel Core i5-12500H pana la 4.5GHz, 15.6"" Full HD, 8GB, SSD 512GB, Inte Iris Xe Graphics, Windows 11 Home S, Quiet Blue",https://altex.ro/laptop-asus-vivobook-15x-oled-x1503za-l1156w-intel-core-i5-12500h-pana-la-4-5ghz-15-6-full-hd-8gb-ssd-512gb-inte-iris-xe-graphics-windows-11-home-s-quiet-blue/cpd/LAPX1503ZL1156W/
"Laptop ASUS Vivobook 15 R1500EA-BQ3323W, Intel Core i3-1115G4 pana la 4.1GHz, 15.6"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics, Windows 11 Home S, negru",https://altex.ro/laptop-asus-vivobook-15-r1500ea-bq3323w-intel-core-i3-1115g4-pana-la-4-1ghz-15-6-full-hd-8gb-ssd-256gb-intel-uhd-graphics-windows-11-home-s-negru/cpd/LAPR1500BQ3323W/
"Laptop ASUS VivoBook 15 X1500EA-BQ2336W, Intel Core i3-1115G4 pana la 4.1GHz, 15.6"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics, Windows 11 Home S, negru",https://altex.ro/laptop-asus-vivobook-15-x1500ea-bq2336w-intel-core-i3-1115g4-pana-la-4-1ghz-15-6-full-hd-8gb-ssd-256gb-intel-uhd-graphics-windows-11-home-s-negru/cpd/LAPX1500BQ2336W/
"Laptop Gaming ASUS TUF F17 FX707ZE-HX066, Intel Core i7-12700H pana la 4.7GHz, 17.3"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce RTX 3050 Ti 4GB, Free DOS, Mecha Gray",https://altex.ro/laptop-gaming-asus-tuf-f17-fx707ze-hx066-intel-core-i7-12700h-pana-la-4-7ghz-17-3-full-hd-16gb-ssd-512gb-nvidia-geforce-rtx-3050-ti-4gb-free-dos-mecha-gray/cpd/LAPFX707ZEHX066/
"Laptop Gaming ASUS TUF Dash F15 FX517ZC-HN005, Intel Core i5-12450H pana la 4.4Ghz, 15.6"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce RTX 3050 4GB, Free Dos, negru",https://altex.ro/laptop-gaming-asus-tuf-dash-f15-fx517zc-hn005-intel-core-i5-12450h-pana-la-4-4ghz-15-6-full-hd-8gb-ssd-512gb-nvidia-geforce-rtx-3050-4gb-free-dos-negru/cpd/LAPFX517ZCHN005/
"Laptop HP Pavilion 15-eh2019nq, AMD Ryzen 5 5625U pana la 4.3GHz, 15.6"" Full HD, 16GB, SSD 512GB, AMD Radeon Graphics, Free Dos, albastru",https://altex.ro/laptop-hp-pavilion-15-eh2019nq-amd-ryzen-5-5625u-pana-la-4-3ghz-15-6-full-hd-16gb-ssd-512gb-amd-radeon-graphics-free-dos-albastru/cpd/LAP6M359EA/
"Laptop ASUS VivoBook 15 R1502ZA-BQ1003, Intel Core i3-1220P pana la 4.4GHz, 15.6"" Full HD, 8GB, SSD 512GB, Intel UHD Graphics, Free Dos, Terra Cotta",https://altex.ro/laptop-asus-vivobook-15-r1502za-bq1003-intel-core-i3-1220p-pana-la-4-4ghz-15-6-full-hd-8gb-ssd-512gb-intel-uhd-graphics-free-dos-terra-cotta/cpd/LAPR1502ZBQ1003/
